arm,seed,i,cls,offset,heading,mc,n_base
A,42,4298,two_row,0.1804751579344086,2.0490842973670715,0.03577852265250959,31
A,42,4299,two_row,0.19081623144908166,1.8890369771269033,0.03298186640661402,30
A,42,4300,two_row,0.15109855478512058,2.2477487280387285,0.03925075430460098,33
A,42,4301,two_row,0.1830351600820287,1.412141655377612,0.024651513121957548,31
A,42,4302,two_row,0.22801223187195713,0.7865676904803323,0.01372905847437924,34
A,42,4303,two_row,0.18451899482096878,1.3710329853904317,0.023933608042457928,32
A,42,4304,two_row,0.21356569884512833,0.9471265808133523,0.01653198312071505,33
A,42,4305,two_row,0.19713549668603247,1.512323350787623,0.02640115331382505,32
A,42,4306,two_row,0.2214201721978678,1.342766985999137,0.02343999648405062,32
A,42,4307,two_row,0.20251925911314583,1.1282924791312745,0.019694964597810644,32
A,42,4308,two_row,0.1665209712665766,1.7254612079226088,0.030124086375854727,30
A,42,4309,two_row,0.1476804070273473,1.9114043506964686,0.03337268043367366,31
A,42,4310,two_row,0.1487060780148325,1.8130498113936726,0.031654254795002994,33
A,42,4311,two_row,0.16766303464235133,1.5789330707868996,0.027564558801925026,31
A,42,4312,two_row,0.15094120812996203,1.5540271293691652,0.027129543025750588,29
A,42,4313,two_row,0.22109407449606966,1.026472671647695,0.017917244743153444,33
A,42,4314,two_row,0.20645660311520087,1.394186304385175,0.02433794510081485,30
A,42,4315,two_row,0.15322598183714398,2.276994307528082,0.03976198262720271,30
A,42,4316,two_row,0.1477950446275601,2.355566116009809,0.04113556324715848,29
A,42,4317,two_row,0.22808059159013527,1.8725745134647613,0.032694232378297855,34
A,42,4318,two_row,0.18717034025172097,2.2424500348142877,0.039158132521578966,30
A,42,4319,two_row,0.17551192136685645,2.3798439060206538,0.04156001504539485,30
A,42,4320,two_row,0.1890672459452779,2.297423364322259,0.040119105727312025,29
A,42,4321,two_row,0.18221165233313596,2.3202068429752987,0.040517398849269866,26
A,42,4322,two_row,0.18562901019105504,2.307374738798244,0.04029307074317085,26
A,42,4323,two_row,0.1826566145327505,2.6240285037661373,0.04582998358712894,27
A,42,4324,two_row,0.19014255642827793,2.827097444880339,0.049382241329443896,26
