arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,3152,none,,,,,,14,0,
A,42,3153,none,,,,,,13,0,
A,42,3154,single_row,,,,,,16,0,
A,42,3155,none,,,,,,12,0,
A,42,3156,none,,,,,,14,0,
A,42,3157,single_row,,,,,,15,0,
A,42,3158,none,,,,,,9,0,
A,42,3159,none,,,,,,8,0,
A,42,3160,none,,,,,,9,0,
A,42,3161,none,,,,,,7,0,
A,42,3162,single_row,,,,,,10,0,
A,42,3163,none,,,,,,11,0,
A,42,3164,none,,,,,,11,0,
A,42,3165,none,,,,,,12,0,
A,42,3166,single_row,,,,,,10,0,
A,42,3167,none,,,,,,8,0,
A,42,3168,none,,,,,,10,0,
A,42,3169,none,,,,,,10,0,
A,42,3170,none,,,,,,9,0,
A,42,3171,none,,,,,,10,0,
A,42,3172,single_row,,,,,,9,0,
A,42,3173,none,,,,,,7,0,
A,42,3174,none,,,,,,7,0,
A,42,3175,none,,,,,,10,0,
A,42,3176,none,,,,,,9,0,
A,42,3177,none,,,,,,8,0,
A,42,3178,none,,,,,,12,0,
A,42,3179,none,,,,,,11,0,
A,42,3180,none,,,,,,13,0,
A,42,3181,none,,,,,,10,0,
A,42,3182,none,,,,,,9,0,
A,42,3183,none,,,,,,12,0,
A,42,3184,none,,,,,,13,0,
A,42,3185,none,,,,,,9,0,
A,42,3186,none,,,,,,13,0,
A,42,3187,none,,,,,,9,0,
A,42,3188,none,,,,,,10,0,
A,42,3189,none,,,,,,11,0,
A,42,3190,none,,,,,,12,0,
A,42,3191,single_row,,,,,,11,0,
A,42,3192,none,,,,,,10,0,
A,42,3193,none,,,,,,11,0,
A,42,3194,none,,,,,,7,0,
A,42,3195,none,,,,,,11,0,
A,42,3196,single_row,,,,,,10,0,
A,42,3197,none,,,,,,5,0,
A,42,3198,none,,,,,,8,0,
A,42,3199,none,,,,,,6,0,
A,42,3200,none,,,,,,6,0,
A,42,3201,single_row,,,,,,8,0,
A,42,3202,none,,,,,,10,0,
A,42,3203,none,,,,,,5,0,
A,42,3204,none,,,,,,7,0,
A,42,3205,none,,,,,,7,0,
A,42,3206,none,,,,,,7,0,
A,42,3207,single_row,,,,,,12,0,
A,42,3208,none,,,,,,5,0,
A,42,3209,none,,,,,,8,0,
A,42,3210,none,,,,,,6,0,
A,42,3211,single_row,,,,,,8,0,
A,42,3212,none,,,,,,8,0,
A,42,3213,none,,,,,,6,0,
A,42,3214,none,,,,,,9,0,
A,42,3215,none,,,,,,6,0,
A,42,3216,single_row,,,,,,11,0,
A,42,3217,none,,,,,,8,0,
A,42,3218,none,,,,,,6,0,
A,42,3219,none,,,,,,7,0,
A,42,3220,single_row,,,,,,6,0,
A,42,3221,single_row,,,,,,8,0,
